Place of birth,Number
Total,"421,240"
North,"2,220"
Rondônia,242
Acre,223
Amazonas,247
Roraima,358
Pará,941
Amapá,58
Tocantins,153
Northeast,"8,081"
Maranhão,795
Piauí,289
Ceará,"1,024"
Rio Grande do Norte,403
Paraíba,499
Pernambuco,"1,118"
Alagoas,711
Sergipe,369
Bahia,"2,872"
Southeast,"31,448"
Minas Gerais,"3,442"
Espirito Santo,394
Rio de Janeiro,"7,988"
São Paulo,"19,624"
Região Sul,"369,101"
Paraná,"22,363"
Santa Catarina,"293,262"
Rio Grande do Sul,"53,476"
Center-West,"4,568"
Mato Grosso do Sul,"1,768"
Mato Grosso,828
Goias,767
Distrito Federal,"1,205"
Brasil sem especificação,"1,200"
foreign,"4,622"
